"filename", "language", "JavaScript", "PHP", "CSS", "Markdown", "JSON", "XML", "comment", "blank", "total"
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\README.md", "Markdown", 0, 0, 0, 45, 0, 0, 0, 22, 67
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Http\Controllers\AuthController.php", "PHP", 0, 56, 0, 0, 0, 0, 10, 16, 82
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Http\Controllers\Controller.php", "PHP", 0, 5, 0, 0, 0, 0, 1, 3, 9
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Http\Controllers\DocumentController.php", "PHP", 0, 66, 0, 0, 0, 0, 14, 12, 92
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Http\Controllers\FacultyController.php", "PHP", 0, 59, 0, 0, 0, 0, 19, 17, 95
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Http\Controllers\MajorController.php", "PHP", 0, 58, 0, 0, 0, 0, 21, 17, 96
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Http\Controllers\SectionSwapApplicationController.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Http\Controllers\SectionSwapRequestController.php", "PHP", 0, 32, 0, 0, 0, 0, 1, 8, 41
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Http\Controllers\TestController.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Http\Controllers\UserController.php", "PHP", 0, 72, 0, 0, 0, 0, 14, 18, 104
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Http\Requests\FacultyRequest.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Http\Requests\UploadDocumentRequest.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 7, 33
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Models\Course.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Models\Faculty.php", "PHP", 0, 23, 0, 0, 0, 0, 2, 7, 32
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Models\File.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 6, 28
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Models\Major.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 8, 30
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Models\SectionSwapApplication.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 7, 27
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Models\SectionSwapRequest.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 7, 22
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Models\User.php", "PHP", 0, 50, 0, 0, 0, 0, 0, 10, 60
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Models\document.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 5, 27
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\app\Providers\AppServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 8, 5, 25
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\bootstrap\app.php", "PHP", 0, 24, 0, 0, 0, 0, 13, 8, 45
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\bootstrap\providers.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\composer.json", "JSON", 0, 0, 0, 0, 77, 0, 0, 1, 78
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\composer.lock", "JSON", 0, 0, 0, 0, 8829, 0, 0, 1, 8830
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\config\app.php", "PHP", 0, 22, 0, 0, 0, 0, 82, 23, 127
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\config\auth.php", "PHP", 0, 28, 0, 0, 0, 0, 74, 14, 116
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\config\cache.php", "PHP", 0, 57, 0, 0, 0, 0, 34, 18, 109
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\config\cors.php", "PHP", 0, 11, 0, 0, 0, 0, 12, 12, 35
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\config\database.php", "PHP", 0, 109, 0, 0, 0, 0, 43, 23, 175
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\config\filesystems.php", "PHP", 0, 36, 0, 0, 0, 0, 32, 13, 81
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\config\logging.php", "PHP", 0, 79, 0, 0, 0, 0, 33, 21, 133
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\config\mail.php", "PHP", 0, 55, 0, 0, 0, 0, 43, 19, 117
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\config\permission.php", "PHP", 0, 34, 0, 0, 0, 0, 121, 48, 203
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\config\queue.php", "PHP", 0, 52, 0, 0, 0, 0, 44, 17, 113
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\config\sanctum.php", "PHP", 0, 17, 0, 0, 0, 0, 53, 14, 84
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\config\services.php", "PHP", 0, 20, 0, 0, 0, 0, 11, 8, 39
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\config\session.php", "PHP", 0, 23, 0, 0, 0, 0, 160, 35, 218
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\factories\UserFactory.php", "PHP", 0, 25, 0, 0, 0, 0, 14, 6, 45
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 0, 32, 0, 0, 0, 0, 3, 4, 39
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 0, 25, 0, 0, 0, 0, 6, 5, 36
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 0, 46, 0, 0, 0, 0, 6, 6, 58
